season,race,site,track,track_length,track_type,finish,start,driver,truck,truck_number,owner,sponsor,laps,laps_led,status,money,pts,playoff_pts,win
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,1,16,Mike Skinner,Chevrolet,3.0,Richard Childress,GM Goodwrench Service,80,30,running,15750.0,180,,1
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,2,3,Terry Labonte,Chevrolet,5.0,Rick Hendrick,DuPont Refinishes,80,24,running,12700.0,170,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,3,2,Ken Schrader,Chevrolet,52.0,Ken Schrader,AC Delco,80,0,running,6850.0,165,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,4,5,Joe Bessey,Dodge,30.0,Grier Lackey,Taylor Togs,80,0,running,3700.0,160,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,5,9,Geoffrey Bodine,Ford,7.0,Geoffrey Bodine,Exide Batteries,80,0,running,3700.0,155,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,6,15,Jack Sprague,Chevrolet,31.0,Bruce Griffin,Performance Race Cars USA,80,0,running,2900.0,150,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,7,17,Butch Miller,Ford,98.0,Jim Herrick,Raybestos Brakes,80,0,running,2850.0,146,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,8,7,Joe Ruttman,Ford,84.0,Mark Simo,Coca-Cola Classic,80,0,running,2800.0,142,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,9,1,"Ron Hornaday, Jr.",Chevrolet,16.0,"Dale Earnhardt, Inc.",RCCA Products,80,26,running,2750.0,138,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,10,4,"Johnny Benson, Jr.",Chevrolet,18.0,Kurt Roehrig,Hella Lights / Performance Friction,80,0,running,2900.0,134,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,11,10,Scott Lagasse,Chevrolet,24.0,Rick Hendrick,DuPont Refinishes,80,0,running,2650.0,130,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,12,13,Bill Sedgwick,Chevrolet,75.0,Wayne Spears,Spears Manufacturing,80,0,running,2600.0,127,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,13,32,John Nemechek,Chevrolet,89.0,John Redding,Redding Race Cars,80,0,running,2550.0,124,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,14,11,Mike Bliss,Ford,8.0,Jim Smith,Ultra Custom Wheels,80,0,running,2500.0,121,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,15,20,Bob Strait,Ford,37.0,Jim Spicuzza,Target Expediting,80,0,running,2450.0,118,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,16,14,P.J. Jones,Chevrolet,1.0,Scoop Vessels,Sears DieHard,80,0,running,2400.0,115,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,17,12,Sammy Swindell,Ford,38.0,Brad Akins / Bob Sutton,Channellock Tools,80,0,running,2300.0,112,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,18,21,Tommy Archer,Ford,3.0,Tommy Archer,Archer Motorsports,80,0,running,2200.0,109,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,19,22,Kerry Teague,Chevrolet,51.0,Jim Rosenblum,Pro Cal,80,0,running,2100.0,106,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,20,18,Gary Collins,Chevrolet,74.0,Marion Collins,Mesa Marin Raceway,79,0,running,2075.0,103,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,21,6,Roger Mears,Chevrolet,25.0,Rick Hendrick,Budweiser,79,0,running,1825.0,100,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,22,23,Bob Keselowski,Dodge,29.0,Ron Keselowski,Galeana's / Mopar Performance / Winnebago,79,0,running,1800.0,97,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,23,27,Jerry Churchill,Ford,88.0,Jerry Churchill,Churchill Motorsports,79,0,running,1625.0,94,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,24,8,Rick Carelli,Chevrolet,6.0,Marshall Chesrown,Total Petroleum,78,0,engine,1600.0,91,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,25,19,Tobey Butler,Ford,21.0,Jim Venable,Ortho Lawn & Garden Care,78,0,running,1425.0,88,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,26,30,Mike Hurlbert,Ford,11.0,Mike Hurlbert,Lawson / Jim's Tires,76,0,running,1400.0,85,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,27,25,Jerry Glanville,Ford,81.0,Jerry Glanville,Glanville Motorsports,76,0,running,1225.0,82,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,28,26,Steve McEachern,Chevrolet,54.0,Steve McEachern,McEachern Racing,74,0,running,1200.0,79,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,29,28,Walker Evans,Dodge,20.0,Walker Evans,Barbary Coast,51,0,valve,1200.0,76,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,30,24,Troy Beebe,Chevrolet,10.0,Alex Decuir,Taco Bell,31,0,suspension,1200.0,73,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,31,31,Butch Gilliland,Ford,6.0,Jim Smith,Ultra Custom Wheels,30,0,engine,1200.0,70,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,32,29,T.J. Clark,Ford,23.0,T.J. Clark,ASE / American Racing Wheels,22,0,crash,1200.0,67,,0
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,33,33,John Borneman,Chevrolet,8.0,John Borneman,MJ Soffe,22,0,crash,1200.0,64,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,1,6,"Ron Hornaday, Jr.",Chevrolet,16.0,"Dale Earnhardt, Inc.",Action Die-Cast,203,102,running,28750.0,180,,1
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,2,7,P.J. Jones,Chevrolet,1.0,Scoop Vessels,Sears DieHard,203,0,running,15100.0,170,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,3,13,Rick Carelli,Chevrolet,6.0,Marshall Chesrown,Total Petroleum,203,0,running,9500.0,165,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,4,2,Joe Ruttman,Ford,84.0,Mark Simo,Coca-Cola Classic,203,53,running,4000.0,160,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,5,3,Jack Sprague,Chevrolet,31.0,Bruce Griffin,St. John's Catholic Church/Motorsports Design,203,0,running,4650.0,155,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,6,5,Scott Lagasse,Chevrolet,24.0,Rick Hendrick,DuPont Automotive Finishes,203,0,running,3700.0,150,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,7,10,Sammy Swindell,Ford,38.0,Brad Akins / Bob Sutton,Channellock Tools,203,0,running,3750.0,146,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,8,8,Bill Sedgwick,Chevrolet,75.0,Wayne Spears,Spears Manufacturing,203,23,running,4600.0,142,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,9,17,Butch Miller,Ford,98.0,Jim Herrick,Raybestos Brakes / Red Carpet Lease,203,1,running,3650.0,138,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,10,12,Dave Rezendes,Ford,7.0,Geoffrey Bodine,Exide Batteries,202,0,running,3150.0,134,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,11,21,Mark Gibson,Dodge,30.0,Grier Lackey,Mopar Performance,202,0,running,2950.0,130,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,12,26,Jerry Churchill,Ford,88.0,Jerry Churchill,Churchill Transportation,201,0,running,3400.0,127,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,13,22,Kerry Teague,Chevrolet,51.0,Jim Rosenblum,Pro Cal,201,0,running,3350.0,124,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,14,25,Jerry Glanville,Ford,81.0,Jerry Glanville,Race Fans Unlimited,200,0,running,3300.0,121,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,15,24,Steve McEachern,Chevrolet,54.0,Steve McEachern,McEachern Racing,200,0,running,3425.0,118,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,16,30,Mike Hurlbert,Ford,11.0,Mike Hurlbert,RPM Racing,194,0,running,3200.0,115,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,17,19,Tobey Butler,Ford,21.0,Jim Venable,Ortho Lawn & Garden Care,192,0,running,3100.0,112,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,18,18,Walker Evans,Dodge,20.0,Walker Evans,Walker Evans Racing,175,0,engine,2500.0,109,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,19,9,Mike Bliss,Ford,8.0,Jim Smith,Ultra Custom Wheels,174,0,rear end,2900.0,106,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,20,27,Lou Gigliotti,Chevrolet,82.0,Lou Gigliotti,Young Chevrolet,162,0,crash,2300.0,103,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,21,14,Gary Collins,Chevrolet,74.0,Marion Collins,Mesa Marin Raceway,158,0,engine,2575.0,100,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,22,4,Steve Portenga,Chevrolet,83.0,Linda Mountanos,The Coffee Critic,139,0,engine,1950.0,97,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,23,23,T.J. Clark,Ford,23.0,T.J. Clark,ASE / MTX,135,0,engine,1900.0,94,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,24,16,Bob Strait,Ford,37.0,Jim Spicuzza,Target Expediting,106,0,crash,2350.0,91,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,25,20,Troy Beebe,Chevrolet,89.0,John Redding,Trucking America / Taco Bell,73,0,crash,1750.0,88,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,26,15,Butch Gilliland,Ford,6.0,Jim Smith,Ultra Custom Wheels,48,0,overheating,2150.0,85,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,27,1,Mike Skinner,Chevrolet,3.0,Richard Childress,GM Goodwrench Service,40,24,engine,2050.0,82,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,28,29,Bob Keselowski,Dodge,29.0,Ron Keselowski,Winnebago / Mopar,30,0,engine,1925.0,79,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,29,11,Wayne Jacks,Chevrolet,58.0,Wayne Jacks,DuPont Refinishes,29,0,overheating,1425.0,76,,0
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,30,28,Stan Fox,Chevrolet,10.0,Alex Decuir,Made For You,19,0,engine,1425.0,73,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,1,3,Ken Schrader,Chevrolet,52.0,Ken Schrader,AC Delco,200,54,running,29050.0,180,,1
1995,3,Saugus,Saugus Speedway,0.333,paved track,2,2,Geoffrey Bodine,Ford,7.0,Geoffrey Bodine,Exide Batteries,200,0,running,14850.0,170,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,3,11,Bill Sedgwick,Chevrolet,75.0,Wayne Spears,Spears Manufacturing,200,0,running,9250.0,165,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,4,5,Butch Miller,Ford,98.0,Jim Herrick,Raybestos Brakes / Red Carpet Lease,200,31,running,4550.0,160,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,5,1,Mike Skinner,Chevrolet,3.0,Richard Childress,GM Goodwrench Service,200,115,running,5150.0,155,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,6,10,"Ron Hornaday, Jr.",Chevrolet,16.0,"Dale Earnhardt, Inc.",Action Racing Collectibles,200,0,running,3850.0,150,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,7,12,Butch Gilliland,Ford,6.0,Jim Smith,Ultra Custom Wheels,200,0,running,3850.0,146,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,8,8,Tobey Butler,Ford,21.0,Jim Venable,Ortho Lawn & Garden Care,200,0,running,3600.0,142,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,9,9,Rick Carelli,Chevrolet,6.0,Marshall Chesrown,Total Petroleum,200,0,running,3670.0,138,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,10,16,Bob Strait,Ford,37.0,Jim Spicuzza,Target Expediting,199,0,running,3500.0,134,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,11,6,Bob Keselowski,Dodge,29.0,Ron Keselowski,Winnebago / Mopar,199,0,running,3450.0,130,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,12,13,Troy Beebe,Chevrolet,89.0,John Redding,Taco Bell / Truckin' America,199,0,running,3400.0,127,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,13,7,Joe Ruttman,Ford,84.0,Mark Simo,Coca-Cola Classic,198,0,running,3350.0,124,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,14,15,Jack Sprague,Chevrolet,31.0,Bruce Griffin,St. John's Catholic Church / Hooters,198,0,running,3300.0,121,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,15,24,Jerry Churchill,Ford,88.0,Jerry Churchill,Churchill Transportation,194,0,running,3475.0,118,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,16,4,P.J. Jones,Chevrolet,1.0,Scoop Vessels,Sears DieHard,191,0,running,3200.0,115,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,17,17,Scott Lagasse,Chevrolet,24.0,Rick Hendrick,DuPont Automotive Finishes,189,0,running,3150.0,112,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,18,20,Bob Walker,Chevrolet,57.0,Raul Flores,Coca-Cola / McDonald's,184,0,running,2625.0,109,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,19,21,Jerry Glanville,Ford,81.0,Jerry Glanville,Race Fans Unlimited,180,0,running,3100.0,106,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,20,22,Kerry Teague,Chevrolet,51.0,Jim Rosenblum,A-1 TV Service,174,0,running,3150.0,103,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,21,18,Walker Evans,Dodge,20.0,Walker Evans,Walker Evans Racing,172,0,running,3050.0,100,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,22,19,Mark Gibson,Dodge,30.0,Grier Lackey,Mopar Performance,137,0,crash,2525.0,97,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,23,14,John Kinder,Ford,14.0,Bill Stroppe,Stroppe Motorsports,117,0,fatigue,2525.0,94,,0
1995,3,Saugus,Saugus Speedway,0.333,paved track,24,23,Sammy Swindell,Ford,38.0,Brad Akins / Bob Sutton,Channellock Tools,117,0,running,3025.0,91,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,1,6,"Ron Hornaday, Jr.",Chevrolet,16.0,"Dale Earnhardt, Inc.",Action Racing Collectibles,125,106,running,28650.0,180,,1
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,2,3,Bill Sedgwick,Chevrolet,75.0,Wayne Spears,Spears Manufacturing,125,8,running,13150.0,170,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,3,17,Mike Bliss,Ford,8.0,Jim Smith,Ultra Custom Wheels,125,0,running,8950.0,165,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,4,1,Mike Skinner,Chevrolet,3.0,Richard Childress,GM Goodwrench Service,125,8,running,3850.0,160,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,5,23,Butch Miller,Ford,98.0,Jim Herrick,Raybestos,125,0,running,3900.0,155,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,6,5,Jack Sprague,Chevrolet,31.0,Bruce Griffin,Dura Lube,125,0,running,3700.0,150,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,7,9,Bob Keselowski,Dodge,29.0,Ron Keselowski,Winnebago,125,0,running,3675.0,146,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,8,10,Joe Ruttman,Ford,84.0,Mark Simo,Coca-Cola Classic,125,0,running,3550.0,142,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,9,25,Scott Lagasse,Chevrolet,24.0,Rick Hendrick,DuPont Automotive Finishes,125,0,running,3625.0,138,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,10,7,Sammy Swindell,Ford,38.0,Brad Akins / Bob Sutton,Channellock Tools,124,0,running,3750.0,134,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,11,21,Bob Strait,Ford,37.0,Jim Spicuzza,Target Expediting,124,0,running,3450.0,130,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,12,11,Rick Carelli,Chevrolet,6.0,Marshall Chesrown,Total Petroleum,124,0,running,3400.0,127,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,13,13,Tobey Butler,Ford,21.0,Jim Venable,Ortho Lawn & Garden Care,124,0,running,3350.0,124,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,14,2,P.J. Jones,Chevrolet,1.0,Scoop Vessels,Sears DieHard,124,3,running,3300.0,121,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,15,26,John Kinder,Ford,14.0,Bill Stroppe,Stroppe Motorsports,124,0,running,2925.0,118,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,16,8,Roger Mears,Chevrolet,25.0,Rick Hendrick,Budweiser,123,0,running,2700.0,115,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,17,30,Kerry Teague,Chevrolet,51.0,Jim Rosenblum,Rosenblum Motorsports,123,0,running,3100.0,112,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,18,20,Stan Fox,Chevrolet,10.0,Alex Decuir,Made For You,123,0,running,2500.0,109,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,19,4,Dave Rezendes,Ford,7.0,Geoffrey Bodine,Exide Batteries,123,0,running,2400.0,106,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,20,16,Gary Collins,Chevrolet,74.0,Marion Collins,Mesa Marin Raceway,122,0,running,2875.0,103,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,21,12,Steve Portenga,Chevrolet,83.0,Linda Mountanos,Coffee Critic / Mission Uniform & Linen,122,0,running,2000.0,100,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,22,19,Wayne Jacks,Chevrolet,58.0,Wayne Jacks,Wayne Jacks Racing,121,0,running,1900.0,97,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,23,29,Jerry Churchill,Ford,88.0,Jerry Churchill,Churchill Transport,121,0,running,2300.0,94,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,24,27,Bob Walker,Chevrolet,57.0,Raul Flores,McDonald's / Coca-Cola,121,0,running,1700.0,91,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,25,15,Troy Beebe,Chevrolet,89.0,John Redding,Trucking America,119,0,running,2200.0,88,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,26,22,John Nemechek,Chevrolet,87.0,Joe Nemechek,Burger King,119,0,running,1475.0,85,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,27,28,Walker Evans,Dodge,20.0,Walker Evans,Walker Evans Racing,114,0,running,1900.0,82,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,28,14,Pancho Carter,Chevrolet,99.0,Richard Balestrieri,Enerjetix,111,0,running,1325.0,79,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,29,18,Butch Gilliland,Ford,6.0,Jim Smith,Ultra Custom Wheels,111,0,running,1825.0,76,,0
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,30,24,Dave Ashley,Ford,2.0,Jim Smith,Ultra Custom Wheels,77,0,engine,1325.0,73,,0
1995,5,Portland,Portland Speedway,0.5,paved track,1,1,Mike Skinner,Chevrolet,3.0,Richard Childress,GM Goodwrench Service,200,200,running,25200.0,180,,1
1995,5,Portland,Portland Speedway,0.5,paved track,2,2,Joe Ruttman,Ford,84.0,Mark Simo,Coca-Cola Classic,200,0,running,16550.0,170,,0
1995,5,Portland,Portland Speedway,0.5,paved track,3,10,Butch Miller,Ford,98.0,Jim Herrick,Raybestos Brakes / Red Carpet Lease,200,0,running,8500.0,165,,0
1995,5,Portland,Portland Speedway,0.5,paved track,4,5,Tobey Butler,Ford,21.0,Jim Venable,Ortho Lawn & Garden Care,200,0,running,8650.0,160,,0
1995,5,Portland,Portland Speedway,0.5,paved track,5,16,Mike Bliss,Ford,8.0,Jim Smith,Ultra Custom Wheels,200,0,running,7100.0,155,,0
1995,5,Portland,Portland Speedway,0.5,paved track,6,14,Geoffrey Bodine,Ford,7.0,Geoffrey Bodine,Exide Batteries,200,0,running,3700.0,150,,0
1995,5,Portland,Portland Speedway,0.5,paved track,7,6,Bill Sedgwick,Chevrolet,75.0,Wayne Spears,Spears Manufacturing,200,0,running,3950.0,146,,0
1995,5,Portland,Portland Speedway,0.5,paved track,8,19,Rick Carelli,Chevrolet,6.0,Marshall Chesrown,Total Petroleum,200,0,running,3800.0,142,,0
1995,5,Portland,Portland Speedway,0.5,paved track,9,3,"Ron Hornaday, Jr.",Chevrolet,16.0,"Dale Earnhardt, Inc.",Papa John's Pizza,200,0,running,3650.0,138,,0
1995,5,Portland,Portland Speedway,0.5,paved track,10,4,Jack Sprague,Chevrolet,31.0,Bruce Griffin,Performance Race Cars,200,0,running,3850.0,134,,0
1995,5,Portland,Portland Speedway,0.5,paved track,11,9,Bob Keselowski,Dodge,29.0,Ron Keselowski,Winnebago / Mopar Performance,199,0,running,3700.0,130,,0
1995,5,Portland,Portland Speedway,0.5,paved track,12,15,Bob Strait,Ford,37.0,Jim Spicuzza,Target Expediting,199,0,running,3400.0,127,,0
1995,5,Portland,Portland Speedway,0.5,paved track,13,13,Sammy Swindell,Ford,38.0,Brad Akins / Bob Sutton,Channellock Tools,199,0,running,3350.0,124,,0
1995,5,Portland,Portland Speedway,0.5,paved track,14,22,John Nemechek,Chevrolet,87.0,Joe Nemechek,Burger King,199,0,running,3000.0,121,,0
1995,5,Portland,Portland Speedway,0.5,paved track,15,11,Dennis Wooldridge,Chevrolet,10.0,Alex Decuir,Made For You / Decuir,198,0,running,2925.0,118,,0
1995,5,Portland,Portland Speedway,0.5,paved track,16,20,Pancho Carter,Chevrolet,99.0,Richard Balestrieri,Enerjetix Motorsports,197,0,running,3050.0,115,,0
1995,5,Portland,Portland Speedway,0.5,paved track,17,7,P.J. Jones,Chevrolet,1.0,Scoop Vessels,Sears DieHard,196,0,running,3100.0,112,,0
1995,5,Portland,Portland Speedway,0.5,paved track,18,26,Jerry Glanville,Ford,81.0,Jerry Glanville,Glanville Motorsports,193,0,running,3000.0,109,,0
1995,5,Portland,Portland Speedway,0.5,paved track,19,12,Steve Portenga,Chevrolet,83.0,Linda Mountanos,The Coffee Critic,181,0,running,2400.0,106,,0
1995,5,Portland,Portland Speedway,0.5,paved track,20,8,Wayne Jacks,Chevrolet,58.0,Wayne Jacks,The Edge KEDG 105.5,176,0,crash,2375.0,103,,0
1995,5,Portland,Portland Speedway,0.5,paved track,21,17,Scott Lagasse,Chevrolet,24.0,Rick Hendrick,DuPont Automotive Finishes,175,0,running,2575.0,100,,0
1995,5,Portland,Portland Speedway,0.5,paved track,22,18,John Kinder,Ford,14.0,Bill Stroppe,Stroppe Motorsports,166,0,exhaust,1950.0,97,,0
1995,5,Portland,Portland Speedway,0.5,paved track,23,21,Walker Evans,Dodge,20.0,Walker Evans,Walker Evans Racing,164,0,running,2400.0,94,,0
1995,5,Portland,Portland Speedway,0.5,paved track,24,24,Jerry Churchill,Ford,88.0,Jerry Churchill,Churchill Transport,106,0,crash,2350.0,91,,0
1995,5,Portland,Portland Speedway,0.5,paved track,25,23,Kerry Teague,Chevrolet,51.0,Jim Rosenblum,Ventvisor,72,0,crash,2250.0,88,,0
1995,5,Portland,Portland Speedway,0.5,paved track,26,25,Mike Hurlbert,Ford,11.0,Mike Hurlbert,Bud Light,56,0,oil leak,2300.0,85,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,1,2,"Ron Hornaday, Jr.",Chevrolet,16.0,"Dale Earnhardt, Inc.",Papa John's Pizza,150,143,running,28100.0,180,,1
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,2,4,Joe Ruttman,Ford,84.0,Mark Simo,Coca-Cola Classic,150,7,running,14950.0,170,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,3,11,Butch Miller,Ford,98.0,Jim Herrick,Raybestos Brakes / Red Carpet Lease,150,0,running,10950.0,165,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,4,6,Mike Skinner,Chevrolet,3.0,Richard Childress,GM Goodwrench Service,150,0,running,7250.0,160,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,5,14,Mike Bliss,Ford,8.0,Jim Smith,Ultra Custom Wheels,150,0,running,5100.0,155,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,6,8,P.J. Jones,Chevrolet,1.0,Scoop Vessels,Sears DieHard,150,0,running,4850.0,150,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,7,9,Dave Rezendes,Ford,7.0,Geoffrey Bodine,Exide Batteries,149,0,running,3650.0,146,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,8,3,Rick Carelli,Chevrolet,6.0,Marshall Chesrown,Total Petroleum,149,0,running,3700.0,142,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,9,10,Ron Esau,Chevrolet,52.0,Ken Schrader,AC Delco,149,0,running,3050.0,138,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,10,19,Gary Collins,Chevrolet,74.0,Marion Collins,Mesa Marin Raceway,149,0,running,3250.0,134,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,11,20,Bob Strait,Ford,37.0,Jim Spicuzza,Target Expediting,148,0,running,3450.0,130,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,12,1,Steve Portenga,Chevrolet,83.0,Linda Mountanos,Coffee Critic,148,0,running,3150.0,127,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,13,18,John Kinder,Ford,14.0,Bill Stroppe,Stroppe Motorsports,148,0,running,2850.0,124,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,14,13,Scott Lagasse,Chevrolet,24.0,Rick Hendrick,DuPont Automotive Finishes,148,0,running,3300.0,121,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,15,5,Bill Sedgwick,Chevrolet,75.0,Wayne Spears,Spears Manufacturing,148,0,running,3425.0,118,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,16,15,Troy Beebe,Chevrolet,89.0,John Redding,NASCAR SuperTruck Magazine / Truckin America,148,0,running,3200.0,115,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,17,24,Sammy Swindell,Ford,38.0,Brad Akins / Bob Sutton,Channellock Tools,147,0,running,3100.0,112,,0
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,18,12,Tobey Butler,Ford,21.0,Jim Venable,Ortho Lawn & Garden Care,147,0,running,3000.0,109,,0
