Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts,PPts
2018,1,Daytona,1.0,2.0,21.0,Johnny Sauter,Allegiant Airlines (Maury Gallagher),Chevrolet,100.0,running,39.0,59.0,6.0
2018,1,Daytona,2.0,12.0,24.0,Justin Haley,Fraternal Order of Eagles (Maury Gallagher),Chevrolet,100.0,running,9.0,40.0,0.0
2018,1,Daytona,3.0,13.0,87.0,Joe Nemechek,D.A.B. Constructors / Fleetwing (Joe Nemechek),Chevrolet,100.0,running,0.0,34.0,0.0
2018,1,Daytona,4.0,24.0,41.0,Ben Rhodes,Alpha Energy Solutions / Ride TV (Duke Thorson),Ford,100.0,running,0.0,23.0,0.0
2018,1,Daytona,5.0,18.0,20.0,"Scott Lagasse, Jr.",American Cancer Society / Screen Your Machine (Randy Young),Chevrolet,100.0,running,0.0,0.0,0.0
2018,1,Daytona,6.0,7.0,98.0,Grant Enfinger,Champion Power Equipment / Curb Records (Mike Curb),Ford,100.0,running,2.0,37.0,0.0
2018,1,Daytona,7.0,8.0,51.0,Spencer Davis,JBL / SiriusXM (Kyle Busch),Toyota,100.0,running,0.0,31.0,0.0
2018,1,Daytona,8.0,4.0,25.0,Dalton Sargeant,Performance Plus Motor Oil (Maury Gallagher),Chevrolet,100.0,running,2.0,37.0,0.0
2018,1,Daytona,9.0,28.0,3.0,Jordan Anderson,Jacob Companies / Bommarito.com (Jordan Anderson),Toyota,100.0,running,1.0,28.0,0.0
2018,1,Daytona,10.0,17.0,45.0,Justin Fontaine,ProMatic Automation / Superior Essex (Al Niece),Chevrolet,100.0,running,0.0,27.0,0.0
2018,1,Daytona,11.0,11.0,2.0,Austin Hill,GoShare.co (Randy Young),Chevrolet,100.0,running,0.0,26.0,0.0
2018,1,Daytona,12.0,30.0,49.0,Wendell Chavous,SobrietyNation.org (Jay Robinson),Chevrolet,100.0,running,0.0,25.0,0.0
2018,1,Daytona,13.0,25.0,15.0,Robby Lyons,Troptions (Jay Robinson),Chevrolet,100.0,running,0.0,24.0,0.0
